id,name,alias,type,status,relationship,geometry
Kalkadoon-LeichhardtSubprovince,Kalkadoon-Leichhardt Subprovince,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((139.515343401 -22.055848736342693, 139.997457232 -19.24453554741219))"
LakefieldBasin,Lakefield Basin,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((143.63262416900002 -15.483088363514005, 144.283922631 -13.980818682557084))"
LauraBasin,Laura Basin,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((143.37369739200005 -15.945888177500994, 145.16839716100003 -13.617751261567703))"
MarlboroughProvince,Marlborough Province,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((149.773983972 -23.131444351317732, 150.40419597799996 -22.632224765329145))"
MaryboroughBasin,Maryborough Basin,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((151.97081030200002 -2973946.675917195, 17071686.947563466 -24.47679365128789))"
McArthurBasin,McArthur Basin,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((137.99490000000003 -17.57412353245622, 138.47146791 -17.089597136469372))"
MillungeraBasin,Millungera Basin,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((140.71119904399995 -21.828959770348025, 142.429105102 -18.759935197424767))"
MossmanOrogen,Mossman Orogen,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((143.81758998400005 -2095364.398538449, 16291950.964571105 -14.166447269551671))"
MountWindsorSubprovince,Mount Windsor Subprovince,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((145.433064069 -20.609464740377696, 147.249068254 -19.914320246395068))"
MulgildieBasin,Mulgildie Basin,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((150.83083277100002 -26.057007371254805, 151.247238447 -24.655504838284017))"
NambourBasin,Nambour Basin,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((152.27300185 -3168773.1609381195, 17083952.70146389 -25.244099328271517))"
NewEnglandOrogen,New England Orogen,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((147.11812992399996 -3240273.3920767605, 17092707.7213762 -19.30506372641065))"
NgarrabullganBasin,Ngarrabullgan Basin,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((144.76150439599996 -16.90908312047429, 144.86843961399995 -16.754451195478538))"
NogoSubprovince,Nogo Subprovince,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((150.562635302 -25.640006829263307, 151.16693163800008 -24.570019747285862))"
NorthAustralianCraton,North Australian Craton,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((137.99469999999997 -1936993.1601743835, 15896421.754636463 -10.690817137655586))"
NorthDAguilarSubprovince,North D'Aguilar Subprovince,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((152.11336225399995 -27.32862775022987, 153.04692154199995 -25.738556968261292))"
OliveRiverBasin,Olive River Basin,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((142.50975108199998 -1361884.1027774345, 15920476.650152557 -11.91384280161835))"
Palmer-BarronSubprovince,Palmer-Barron Subprovince,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((144.13928027600002 -2095364.398538449, 16291950.964571105 -14.166447269551671))"
PhilpottSubprovince,Philpott Subprovince,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((151.282818746 -26.043383046255112, 151.44949263299998 -25.170044217273063))"
RockhamptonSubprovince,Rockhampton Subprovince,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((149.944808846 -2817755.8263468216, 16812500.810451023 -23.072339193319053))"
